Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Continental Controls Ltd.,CONTICON,Electronics - Components,Electronics - Components,7.89,BSE,0,12.5,12.5,0,-2.57,-2.57,0,1,2024-09,,7.89,2024-09,0,0.02,2024-09,394.28,394.28,41.68,3.74,1,2024-03,0,-13.93,-7.72,0,0,0,0,0,,"544108,",1,
Cosmo Ferrites Ltd.,COSMOFE,Electronics - Components,Electronics - Components,441.02,BSE,0,382.95,382.95,0,4.46,4.46,0,1,2024-09,72.72,509.52,2024-09,90.59,-5.57,2024-09,0,0,0,16.55,1,2024-03,2.25,-6.33,4.81,0,0,0,0,0,,,1,
Globesecure Technologies Ltd.,GSTL,IT - Software,IT - Software,53.24,NSE,0,35.05,35.05,0,4.94,4.94,0,1,2024-09,7,60.23,2024-03,23.88,1.01,2024-03,52.61,52.61,,1.1,1,2024-03,0.44,4.9,8.63,0,0,0,0,0,,"539402,",1,
Edvenswa Enterprises Ltd.,EDVENSWA,Electronics - Components,Electronics - Components,175.3,BSE,0,59.93,59.93,0,-0.12,-0.12,0,2,2024-09,,175.3,2024-09,94.27,8.82,2024-09,19.88,19.88,,1.45,2,2024-03,0,15.43,23.78,0,0,0,0,0,,"524624,",1,
Gujarat Poly Electronics Ltd.,GUJARATPOLY,Electronics - Components,Electronics - Components,84.24,BSE,0,96.3,96.3,0,-2.26,-2.26,0,1,2024-09,9.82,92.81,2024-09,17.63,2.18,2024-09,38.61,38.61,-2.29,8.17,1,2024-03,1.06,26.32,14.32,0,0,0,0,0,,"GAIL,",1,
Hindusthan Urban Infrastructure Ltd.,HUIL,Electronics - Components,Electronics - Components,367.94,BSE,0,2565.05,2565.05,0,0.59,0.59,0,2,2024-09,325.79,681.83,2024-09,559.19,-6.84,2024-09,61.22,61.22,,0.99,2,2024-03,1.02,-11.24,-1.85,0,0,0,0,0,,,1,
Globus Spirits Ltd.,GLOBUSSPR,Breweries & Distilleries,Breweries & Distilleries,2588.55,NSE,852.5,900,852.5,31714,0.71,-2.8,-24.55,2,2024-09,406.86,2911.5,2024-09,3417.73,61.22,2024-09,41.84,32.34,1.32,2.64,2,2024-03,0.33,10.36,9.56,0,1303.2,0,800.75,26.36,,"531297,",TRUE,
Gloster Ltd.,GLOSTERLTD,Textile,Textile,747.04,NSE,529.95,700,529.95,230,2.83,0.73,3.85,2,2024-09,326.1,1027.24,2024-09,600.68,-2,2024-09,0,76.31,0,0.69,2,2024-03,0.17,2.22,3.3,0,830,0,515.5,6.95,,"516032,",1,
Incap Ltd.,INCAP,Electronics - Components,Electronics - Components,55.95,BSE,0,109,109,0,,,0,1,2024-09,9.47,65.42,2024-09,19.62,0.81,2024-09,69.08,69.08,-9.62,3.34,1,2024-03,0.17,4.18,6.23,0,0,0,0,0,,"GALAPREC,",1,
GM Breweries Ltd.,GMBREW,Breweries & Distilleries,Breweries & Distilleries,1900.75,NSE,991.95,844.85,991.95,56480,1.43,-3.36,-34.6,1,2024-09,,1833.83,2024-09,2437.81,155.85,2024-09,12.2,13.88,0.95,2.22,1,2024-03,0,20.15,24.15,0,1328.8,0,594,71.46,,"542670,",TRUE,
GMM Pfaudler Ltd.,GMMPFAUDLR,Engineering - Industrial Equipments,Engineering - Industrial Equipments,5554.24,NSE,881.75,1225.95,881.75,53399,-0.89,0.85,7.4,2,2024-09,746.66,5899.43,2024-09,3187.35,100.63,2024-09,52.74,224.63,1.84,5.39,2,2024-03,0.74,19.79,21.37,0,1418,0,829.6,3.93,,"532334,",1,
Modern Insulators Ltd.,MODINSU,Electronics - Components,Electronics - Components,658.36,BSE,0,139.05,139.05,0,-0.43,-0.43,0,2,2024-09,6.95,648.62,2024-09,466.09,46.68,2024-09,14.1,14.1,,1.48,2,2024-03,0.05,8.86,9.06,0,0,0,0,0,,"526073,",1,
Pan Electronics (India) Ltd.,PANELEC,Electronics - Components,Electronics - Components,17.2,BSE,0,43,43,0,,,0,1,2024-09,34.75,51.69,2024-09,3.32,-5.35,2024-09,0,0,,-0.63,1,2024-03,-1.31,0,-36.43,0,0,0,0,0,,"506186,",1,
RIR Power Electronics Ltd.,RIR,Electronics - Components,Electronics - Components,2432.42,BSE,0,3230,3230,0,1.9,1.9,0,2,2024-09,19.35,2413.19,2024-09,76.15,7.6,2024-09,319.84,319.84,,20.45,2,2024-03,0.82,18.87,13.3,0,0,0,0,0,,"GALAXYSURF,",1,
SPEL Semiconductor Ltd.,SPELS,Electronics - Components,Electronics - Components,851.33,BSE,0,182.45,182.45,0,-1.16,-1.16,0,1,2024-09,29.93,881.26,2024-09,8.19,-17.25,2024-09,0,0,0,34.27,1,2024-03,0.84,-40.66,-20.01,0,0,0,0,0,,"GALLANTT,",1,
GMR Airports Ltd.,GMRAIRPORT,Airport Management Services,Airport Management Services,83046.35,NSE,88.15,78.91,88.15,8442616,0.28,-4.17,-3.84,2,2024-09,35281.76,117416.7,2024-09,9571.09,-1569.48,2024-09,0,0,0,-32.36,2,2024-03,-16.3,0,7.13,0,110.36,0,74.79,-1.25,,,FALSE,
GMR Power and Urban Infra Ltd.,GMRP&UI,Power Generation/Distribution,Power Generation/Distribution,9314.32,NSE,101.3,128.49,101.3,613084,-1.35,-2.79,-2.91,2,2024-09,10047.28,18506.2,2024-09,5733.23,1947.9,2024-09,5.52,9.58,,11.77,2,2024-03,-4.75,0,16.97,0,141.01,0,97.22,10.57,,"514412,",1,
GNA Axles Ltd.,GNA,Auto Ancillary,Auto Ancillary,1768.96,NSE,382,419.6,382,51727,1.4,-3.52,-13.95,2,2024-09,229.1,1958.21,2024-09,1515.19,95.49,2024-09,18.53,14.69,2.13,2.08,2,2024-03,0.27,13.19,15.14,0,470,0,271.05,26,,"534733,",TRUE,
Vintron Informatics Ltd.,VINTRON,Electronics - Components,Electronics - Components,384.12,BSE,0,40.56,40.56,0,5,5,0,1,2024-09,10.42,394.54,2024-09,532.22,39.09,2024-09,9.83,9.83,0.18,8.2,1,2024-03,2.63,0,148.24,0,0,0,0,0,,"GANESHBE,",1,
Go Digit General Insurance Ltd.,GODIGIT,Insurance,Insurance,30793.31,NSE,329.65,330.9,329.65,181722,-0.87,0.44,1.45,1,2024-03,181.68,2024-03,63.6,,7.05,1,2024-03,59.69,0.14,7.51,7,"GODIGIT,",,,,0,381.4,0,264.6,5.52,,"BECTORFOOD,",1,
Go Fashion (India) Ltd.,GOCOLORS,Retailing,Retailing,5344.19,NSE,258.3,1022.05,258.3,355980,3.67,-2.8,-7.45,1,2024-09,,5117.2,2024-09,812.5,85.74,2024-09,62.33,19.61,,8.18,1,2024-03,0,14.72,27.15,0,943.75,0,237.05,13.17,,"533110,",1,
Goa Carbon Ltd.,GOACARBON,Carbon Black,Carbon Black,676.31,NSE,309.15,730.15,309.15,13197,-1.33,-3.75,-12.05,1,2024-09,263.73,791.9,2024-09,697.7,36.81,2024-09,18.37,18.37,0.27,2.91,1,2024-03,1.35,39.44,23.46,0,532.8,0,300,-64.77,,"ATMASTCO,",TRUE,
GOCL Corporation Ltd.,GOCLCORP,Chemicals,Chemicals,1973.48,NSE,238.5,401.7,238.5,31334,0.89,-1.63,-3.95,2,2024-09,1225.1,3123.55,2024-09,655.12,62.06,2024-09,31.8,0.8,5.35,1.37,2,2024-03,0.84,3.41,7.28,0,417.5,0,225.45,296.53,,"543497,",1,
Godavari Biorefineries Ltd.,GODAVARIB,Sugar,Sugar,1587.22,NSE,315.25,313.8,315.25,312055,1.21,-2.93,-9.5,2,2024-09,684.87,2242.02,,,,2024-03,129.05,71.07,,1.67,2,2024-03,1.31,2.48,7.4,0,348.7,0,145,4.43,,"530231,",1,
Godawari Power And Ispat Ltd.,GPIL,Steel & Iron Products,Steel & Iron Products,13887.92,NSE,251.35,207.52,251.35,664730,-0.08,-3.36,-8.75,2,2024-09,33.71,13149.58,2024-09,5448.78,888.95,2024-09,15.55,21.03,0.52,3.06,2,2024-03,0.01,22.28,30,0,290,0,168,11.94,,"SMARTLINK,",1,
Godfrey Phillips India Ltd.,GODFRYPHLP,Cigarettes/Tobacco,Cigarettes/Tobacco,26844.72,NSE,1997.3,5093.55,1997.3,152265,-1.41,-2.12,-43.3,2,2024-09,31.14,26846.62,2024-09,5776.9,714.39,2024-09,29.72,22.44,1.07,5.7,2,2024-03,0.01,22.74,28.52,0,3947,0,1877.3,89.03,,"CAPACITE,",1,
Godha Cabcon & Insulation Ltd.,GODHA,Engineering - Industrial Equipments,Engineering - Industrial Equipments,154.4,NSE,0,1.27,1.27,0,-0.78,-0.78,0,1,2024-09,81.63,225.41,2024-09,109.36,2.09,2024-09,74.02,74.02,10.24,1.25,1,2024-03,0.03,1.1,3.13,0,0,0,0,0,,,1,
Godrej Agrovet Ltd.,GODREJAGRO,Animal Feed,Animal Feed,14321.55,NSE,575.3,748.1,575.3,54427,0.37,-2.66,-15.7,2,2024-09,1800.97,16110.26,2024-09,9278.99,325.4,2024-09,36.13,25.22,5.73,6.04,2,2024-03,0.52,14.85,15.51,0,876.35,0,506.1,22.81,,,FALSE,
Innovators Facade Systems Ltd.,INNOVATORS,Engineering,Engineering,424.53,BSE,0,225,225,0,,,0,1,2024-09,42.62,467.14,2024-03,215.11,15.17,2024-03,27.99,27.99,2.6,3.34,2,2024-03,0.3,11.06,15.88,0,0,0,0,0,,"512443,",1,
Godrej Consumer Products Ltd.,GODREJCP,Household & Personal Products,Household & Personal Products,111835.2,NSE,1026.1,1092.9,1026.1,230967,-0.05,-2.63,-27.7,2,2024-09,3751.38,115291.5,2024-09,14043.16,-370.15,2024-09,0,57.56,,9.19,2,2024-03,0.25,-4.26,3.32,0,1309,0,1019.5,17.81,,"MOHITIND,",1,
Godrej Industries Ltd.,GODREJIND,Chemicals,Chemicals,40130.75,NSE,826,1190.8,826,58825,-0.2,-0.72,-5.95,2,2024-09,34994.42,70889.08,2024-09,17210.24,1358.81,2024-09,99.16,28.42,-2.8,4.73,2,2024-03,3.61,7.46,7.21,0,1390,0,814.4,29.06,,"540956,",1,
KP Green Engineering Ltd.,KPGEL,Engineering,Engineering,2758,BSE,0,561.65,561.65,0,1.82,1.82,0,1,2024-09,143.43,2901.43,2024-03,349.05,35.39,2024-03,77.93,77.93,,10.34,2,2024-03,0.14,23.64,29.77,0,0,0,0,0,,"530615,",1,
Organic Recycling Systems Ltd.,ORGANICREC,Engineering,Engineering,261.24,BSE,0,339.8,339.8,0,0.15,0.15,0,1,2024-09,31.05,292.28,2024-03,18.13,3.14,2024-03,83.05,83.05,,1.62,2,2024-03,0.41,14.56,7.79,0,0,0,0,0,,"539216,",1,
Godrej Properties Ltd.,GODREJPROP,Construction - Real Estate,Construction - Real Estate,84643.1,NSE,1558.8,2777.3,1558.8,592422,-1.23,-5.2,-85.5,2,2024-09,13573.11,94648.37,2024-09,3588.76,1445.74,2024-09,60.95,29.64,2.6,5.02,2,2024-03,1.05,7.77,6.38,0,2506.5,0,1475,52.54,,"CHETANA,",1,
Goenka Diamond and Jewels Ltd.,GOENKA,Diamond & Jewellery,Diamond & Jewellery,36.14,NSE,0,1.09,1.09,0,,,0,2,2024-03,176.64,212.15,2023-12,0.61,-2.94,2024-03,0,0,0,0.15,2,2024-03,0.75,-1.2,-0.55,0,0,0,0,0,,"DRREDDY,",1,
Gokaldas Exports Ltd.,GOKEX,Textile,Textile,8193.99,NSE,580.15,1136.95,580.15,330113,-0.85,-2.59,-15.4,2,2024-09,401.64,8536.32,2024-09,3225.12,130.05,2024-09,63.01,37.09,1.93,4.21,2,2024-03,0.5,12.43,13.79,0,1060,0,531,15.64,,"TAINWALCHM,",1,
Sunita Tools Ltd.,SUNITATOOL,Engineering,Engineering,470.25,BSE,0,852.7,852.7,0,2,2,0,1,2024-09,1.99,472.25,2024-03,26.09,4.85,2024-03,96.96,96.96,,18.35,1,2024-03,0.31,33.67,27.51,0,0,0,0,0,,"GARUDA,",1,
Vruddhi Engineering Works Ltd.,VRUDDHI,Engineering,Engineering,57.13,BSE,0,221.9,221.9,0,-1.99,-1.99,0,1,2024-09,3.54,60.68,2024-03,21.82,0.57,2024-03,99.73,99.73,,7.67,1,2024-03,1.08,29.09,22.15,0,0,0,0,0,,"GRWRHITECH,",1,
Gokul Agro Resources Ltd.,GOKULAGRO,Edible Oil,Edible Oil,5255.49,NSE,180.6,362.7,180.6,3466345,1.63,-3.15,-5.87,2,2024-09,463.62,5184.86,2024-09,16385.99,202.28,2024-09,25.98,17.83,0.4,5.76,2,2024-03,0.75,18.9,23.68,0,221.5,0,96.55,10.14,,"533477,",1,
Gokul Refoils and Solvent Ltd.,GOKUL,Edible Oil,Edible Oil,618.22,NSE,41.12,63.5,41.12,102804,0.67,-4.06,-1.74,2,2024-09,435.16,973.5,2024-09,3149,11.57,2024-09,53.43,21.21,21.81,1.84,2,2024-03,1,0.55,5.1,53.55,53.55,0,31,1.94,,"ENSER,",1,
Golden Tobacco Ltd.,GOLDENTOBC,Cigarettes/Tobacco,Cigarettes/Tobacco,72.14,NSE,28.18,41,28.18,2345,3.51,1.95,0.54,1,2021-09,2,70.52,2021-12,32.66,2.71,2021-12,26.67,26.67,1.48,,1,2021-03,-0.01,0,0,0,39.99,0,26.08,0,,"CANTABIL,",1,
Goldiam International Ltd.,GOLDIAM,Diamond & Jewellery,Diamond & Jewellery,4446.95,NSE,290.9,421.9,290.9,376280,1.33,-5,-15.3,2,2024-09,,4273.75,2024-09,652.46,94.32,2024-09,47.15,20.83,3.66,6.65,2,2024-03,0,14.95,20.11,0,444,0,251.35,13.97,,"504908,",1,
Bansal Roofing Products Ltd.,BRPL,Engineering,Engineering,120.8,BSE,0,91,91,0,-0.69,-0.69,0,1,2024-09,4.68,125.42,2024-09,90.45,2.98,2024-09,40.56,40.56,3.86,4.17,1,2024-03,0.16,13.73,17.21,0,0,0,0,0,,"540936,",1,
Goldkart Jewels Ltd.,GOLDKART,Diamond & Jewellery,Diamond & Jewellery,370.28,NSE,0,220.6,220.6,0,,,0,1,2024-09,14.17,384.45,2024-03,68.21,0.97,2024-03,380.14,380.14,17.58,10.35,1,2024-03,0.4,3.32,7.13,0,0,0,0,0,,"DRCSYSTEMS,",1,
Goldstar Power Ltd.,GOLDSTAR,Batteries,Batteries,278.01,NSE,0,11.2,11.2,0,-3.03,-3.03,0,1,2024-09,14.51,292.53,2024-03,50.17,4.04,2024-03,68.72,68.72,2.15,9.86,1,2024-03,0.65,15.46,17.55,0,0,0,0,0,,"ANMOL,",TRUE,
Goodluck India Ltd.,GOODLUCK,Steel & Iron Products,Steel & Iron Products,3188.73,NSE,1023.6,977.65,1023.6,33558,0.3,-3.21,-33.9,2,2024-09,664.31,3771.33,2024-09,3670.05,151.52,2024-09,21.18,20.03,0.64,2.59,2,2024-03,0.56,15.56,17.63,0,1349,0,592.2,51.11,,,1,
GTV Engineering Ltd.,GTV,Engineering,Engineering,164.04,BSE,0,529,529,0,0.74,0.74,0,1,2024-03,17.54,164.09,2024-09,113.37,6.55,2024-09,25.06,25.06,0.55,4.22,1,2024-03,0.48,16.07,17.64,0,0,0,0,0,,"GRCL,",1,
Gujarat Toolroom Ltd.,GUJTLRM,Engineering,Engineering,419.57,BSE,0,18.98,18.98,0,4.98,4.98,0,2,2024-09,0.39,419.97,2024-09,990.01,117.73,2024-09,3.56,3.56,,1.32,2,2024-03,0,170.43,179.08,0,0,0,0,0,,"532183,",1,
Gopal Snacks Ltd.,GOPAL,Consumer Food,Consumer Food,4561.77,NSE,274.55,372,274.55,34813,1.45,-1.96,-5.5,1,2024-09,5.72,4567.49,2024-09,1483.26,97.19,2024-09,46.94,730.17,,10.28,1,2024-03,0.17,29.24,32.07,0,398,0,256.6,0.38,,"514030,",1,
Kennametal India Ltd.,KENNAMET,Engineering,Engineering,6562.15,BSE,0,3014.95,3014.95,0,0.98,0.98,0,1,2024-06,0,6449.05,2024-09,1112.4,118.5,2024-09,55.38,55.38,17.09,8.67,1,2024-06,0,15.57,21.37,0,0,0,0,0,,,1,
Krishna Ventures Ltd.,KRISHNA,Engineering,Engineering,67.28,BSE,0,64,64,0,2.73,2.73,0,1,2024-09,,67.08,2024-09,1.34,-0.79,2024-09,0,0,,6.15,1,2024-03,0,-4.02,-3.99,0,0,0,0,0,,"GEPIL,",1,
Lippi Systems Ltd.,LIPPISYS,Engineering,Engineering,14.51,BSE,0,20.32,20.32,0,-1.98,-1.98,0,1,2024-09,0.99,15.43,2024-09,0,-0.96,2024-09,0,0,,0.68,1,2024-03,0.04,-3.85,-5.05,0,0,0,0,0,,"GVT&D,",1,
Goyal Aluminiums Ltd.,GOYALALUM,Trading,Trading,140.16,NSE,6,9.96,6,44155,1.63,-1.96,-0.12,2,2024-09,1.61,141.77,2024-09,80.73,2.2,2024-09,54.01,33.19,,6.6,2,2024-03,0.08,12.4,16.38,0,11.37,0,5.7,0.18,,"543241,",1,
Goyal Salt Ltd.,GOYALSALT,Consumer Food,Consumer Food,364.72,NSE,0,202,202,0,-0.86,-0.86,0,1,2024-09,10.39,375.11,2024-03,117.75,9.45,2024-03,38.58,38.58,,8.64,1,2024-03,0.13,32.37,34.92,0,0,0,0,0,,"DATAPATTNS,",1,
GP Eco Solutions India Ltd.,GPECO,Trading,Trading,312.91,NSE,0,265.5,265.5,0,-0.64,-0.64,0,1,2024-09,22.29,335.2,2024-03,136.34,7.03,2024-03,44.53,44.53,,5.99,2,2024-03,0.63,48.54,41.18,0,0,0,0,0,,"UHTL,",1,
GP Petroleums Ltd.,GULFPETRO,Lubricants,Lubricants,293.01,NSE,28.42,57.77,28.42,62202,0.71,-2.97,-0.87,1,2024-03,6.32,298,2024-09,606.83,24.6,2024-09,11.91,5.62,1.06,0.93,1,2024-03,0.02,9.56,12.41,0,51.95,0,28,5.05,,"540359,",1,
GPT Healthcare Ltd.,GPTHEALTH,Hospital & Healthcare Services,Hospital & Healthcare Services,1487.24,NSE,124,185.3,124,44372,2.3,-0.02,-0.03,1,2024-09,9.16,1491.88,2024-09,399.5,49.07,2024-09,30.31,25.08,,6.44,1,2024-03,0.06,24.89,32.61,0,185,0,119.34,4.94,,,1,
GPT Infraprojects Ltd.,GPTINFRA,Engineering - Construction,Engineering - Construction,1808.91,NSE,102.61,143.47,102.61,74741,0.18,-3.88,-4.16,2,2024-09,113,1886.21,2024-09,1078.01,61.28,2024-09,27.61,14.46,0.74,3.6,2,2024-03,0.62,19.19,21.91,0,149.8,0,93.99,7.1,,"GOCLCORP,",1,
SBEC Systems (India) Ltd.,SBECSYS,Engineering,Engineering,38.7,BSE,0,39.6,39.6,0,2.33,2.33,0,2,2024-09,18.48,57.09,2024-09,3.3,1.35,2024-09,28.69,28.69,1.76,-2.73,2,2024-03,-1.14,0,153.92,0,0,0,0,0,,"GENCON,",1,
Scan Projects Ltd.,SCANPRO,Engineering,Engineering,11.39,BSE,0,162.8,162.8,0,5,5,0,1,2024-09,0.83,12.23,2024-09,10.03,0.86,2024-09,13.19,13.19,0.37,4.15,1,2024-03,0,1.51,2.31,0,0,0,0,0,,"GENESYS,",1,
Sharika Enterprises Ltd.,SHARIKA,Engineering,Engineering,94.22,BSE,0,22.84,22.84,0,4.96,4.96,0,2,2024-09,12.13,105.45,2024-09,96.24,0.24,2024-09,320.48,320.48,12.27,5.55,2,2024-03,0.4,5.8,6.88,0,0,0,0,0,,"531739,",1,
Shivagrico Implements Ltd.,SHIVAGR,Engineering,Engineering,14.53,BSE,0,31.47,31.47,0,8.55,8.55,0,1,2024-09,17.55,31.98,2024-09,41.34,0.08,2024-09,181.68,181.68,11.48,1.94,1,2024-03,2.59,0.96,4.95,0,0,0,0,0,,"539206,",1,
GR Infraprojects Ltd.,GRINFRA,Engineering - Construction,Engineering - Construction,14207.77,NSE,916.65,1462.1,916.65,672358,-0.51,-0.91,-8.4,2,2024-09,4301.21,18118.84,2024-09,8043.77,1044.95,2024-09,12.4,8.06,,1.79,2,2024-03,0.5,19.1,19.68,0,1444.4,0,892.5,113.63,,"GODAVARIB,",1,
Grand Foundry Ltd.,GFSTEELS,Steel & Iron Products,Steel & Iron Products,27.51,NSE,12.36,8.91,12.36,14594,,4.92,0.58,1,2024-09,5.29,32.8,2024-09,0.02,-0.67,2024-09,0,0,0,-5.16,1,2024-03,-0.99,0,0,0,12.36,0,7.62,-0.29,,"513418,",1,
Tulive Developers Ltd.,TULIVE,Engineering,Engineering,151.94,BSE,0,705.25,705.25,0,,,0,1,2024-09,,151.94,2024-09,0,-1.02,2024-09,0,0,,3.2,1,2024-03,0,-1.92,-1.67,0,0,0,0,0,,"GENUSPAPER,",1,
Granules India Ltd.,GRANULES,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,14742.41,NSE,570.4,602.5,570.4,1020024,-1,-3.09,-18.15,2,2024-09,1009.4,15535.09,2024-09,4477.85,487.18,2024-09,30.26,25.37,2.66,4.3,2,2024-03,0.38,13.46,15.66,0,627,0,422,22.48,,"515127,",1,
Graphisads Ltd.,GRAPHISAD,Miscellaneous,Miscellaneous,106.37,NSE,0,58.2,58.2,0,,,0,1,2024-09,11.72,118.09,2024-03,78.22,2.78,2024-03,38.22,38.22,,1.15,2,2024-03,0.09,5.12,11.63,0,0,0,0,0,,"PILITA,",1,
Graphite India Ltd.,GRAPHITE,Electrodes & Welding Equipment,Electrodes & Welding Equipment,11130.55,NSE,604.6,582.95,604.6,354137,2.33,-3.01,-18.75,2,2024-09,240,11269.55,2024-09,2781,463,2024-09,23.89,35.89,-0.42,1.91,2,2024-03,0.03,15.22,18.5,0,747,0,411,16.85,,"FROG,",1,
Grasim Industries Ltd.,GRASIM,Cement & Construction Materials,Cement & Construction Materials,173119.3,NSE,2623,2529.95,2623,913753,-0.55,-3.68,-100.1,2,2024-09,155903.2,323168.8,2024-09,137116.2,8482.03,2024-09,38.62,42.04,2.73,1.86,2,2024-03,1.53,11.93,11.38,0,2979,0,2426,62.39,,"AVTNPL,",TRUE,
Gravita India Ltd.,GRAVITA,Metal - Non Ferrous,Metal - Non Ferrous,16618.34,NSE,1410.7,2294.3,1410.7,127108,1.89,-2.4,-34.7,2,2024-09,556.87,17084.23,2024-09,3456.46,270.81,2024-09,61.87,26.82,0.85,8.62,2,2024-03,0.65,33.97,28.16,0,2170,0,1379.65,52.57,,"543540,",1,
Greaves Cotton Ltd.,GREAVESCOT,Diesel Engines,Diesel Engines,6328.15,NSE,133.63,286.15,133.63,522442,5.05,-4.01,-5.58,2,2024-09,57.21,6260.48,2024-09,2682.92,17.76,2024-09,85.37,28.73,6.96,4.66,2,2024-03,0.03,-24.55,-17.14,0,244.3,0,133.11,4.65,,"EDUCOMP,",1,
Greenchef Appliances Ltd.,GREENCHEF,Consumer Durables - Domestic Appliances,Consumer Durables - Domestic Appliances,203.74,NSE,0,87,87,0,-0.63,-0.63,0,1,2024-09,62.65,266.39,2024-03,330.65,4.83,2024-03,42.18,42.18,,1.78,1,2024-03,1.06,5.51,6.39,0,0,0,0,0,,"CLSL,",1,
Greenlam Industries Ltd.,GREENLAM,Laminates/Decoratives,Laminates/Decoratives,7555.56,NSE,212.44,593.45,212.44,13229,0.06,-0.61,-1.3,2,2024-09,1108.98,8640.3,2024-09,2472.98,120.38,2024-09,62.36,305.93,5.03,6.79,2,2024-03,0.93,13.56,12.72,0,297.7,0,197.42,0.69,,"532271,",1,
Greenpanel Industries Ltd.,GREENPANEL,Wood & Wood Products,Wood & Wood Products,4593.01,NSE,193,371.3,193,42845,-0.76,-1.9,-3.73,1,2024-09,297.37,4786.22,2024-09,1484.16,91.68,2024-09,50.1,50.1,1.53,3.4,2,2024-03,0.2,11.36,13.16,0,335.2,0,189.05,-0.09,,"ZOMATO,",1,
Faalcon Concepts Ltd.,FAALCON,Engineering - Construction,Engineering - Construction,37.57,BSE,0,56,56,0,1.82,1.82,0,1,2024-09,3.8,41.37,2024-03,18.51,2.03,2024-03,18.51,18.51,,1.97,1,2024-03,0.6,39.68,38.44,0,0,0,0,0,,"542918,",1,
Greenply Industries Ltd.,GREENPLY,Wood & Wood Products,Wood & Wood Products,3927.89,NSE,197.17,319.45,197.17,66325,1.48,-1.56,-3.12,2,2024-09,426.47,4274.51,2024-09,2444.97,119.95,2024-09,37.03,32.76,-6.67,5.16,2,2024-03,0.76,13.02,12.47,0,351.95,0,187.99,6.02,,"ZOTA,",1,
Gretex Industries Ltd.,GRETEX,Textile,Textile,339.11,NSE,0,228.9,228.9,0,,,0,1,2024-09,7.4,346.5,2024-03,31.13,9.98,2024-03,33.97,33.97,,9.91,2,2024-03,0.04,71.01,81.58,0,0,0,0,0,,"SURAKSHA,",1,
Grill Splendour Services Ltd.,BIRDYS,Retailing,Retailing,43.28,NSE,0,83.1,83.1,0,,,0,1,2024-09,3.64,46.92,2024-03,13.46,-0.24,2024-03,0,0,,2.1,1,2024-03,3.78,-7.78,4.32,0,0,0,0,0,,"SHIVAMAUTO,",1,
Janus Corporation Ltd.,JANUSCORP,Engineering - Construction,Engineering - Construction,26.28,BSE,0,10.05,10.05,0,-4.74,-4.74,0,1,2024-09,,26.28,2024-03,38.9,0.37,2024-03,71.03,71.03,-13.9,0.9,1,2024-03,0,2.46,3.45,0,0,0,0,0,,"GILLETTE,",1,
Jayant Infratech Ltd.,JAYANT,Engineering - Construction,Engineering - Construction,147.12,BSE,0,146,146,0,0.79,0.79,0,1,2024-09,9.89,157.01,2024-03,89.3,4.87,2024-03,30.2,30.2,,4.05,1,2024-03,0.29,16.86,18.46,0,0,0,0,0,,"531744,",1,
Grindwell Norton Ltd.,GRINDWELL,Abrasives,Abrasives,21458.64,NSE,1411.2,1956.7,1411.2,14957,0.9,-1.2,-17.2,2,2024-09,17.34,21297.18,2024-09,2750.49,374.71,2024-09,57.36,40.19,3.17,10.45,2,2024-03,0.01,20.05,26.53,0,1884,0,1401.1,35.14,,,FALSE,
GRM Overseas Ltd.,GRMOVER,Consumer Food,Consumer Food,1204.8,NSE,152.5,202.8,152.5,1285094,1.81,-0.26,-0.4,2,2024-09,212.51,1403.3,2024-09,1473.98,63.88,2024-09,18.86,45.28,0.41,3.1,2,2024-03,1.2,20.21,14.36,0,185.45,0,84,3.37,,"DELAPLEX,",1,
GRP Ltd.,GRPLTD,Rubber Products,Rubber Products,1820.24,NSE,1740.4,3440.4,1740.4,1620,0.84,0.7,12.1,2,2024-09,115.49,1935.47,2024-09,505.48,22.86,2024-09,79.64,38.68,2.24,10.89,2,2024-03,0.68,14.41,14.55,0,3224.95,0,1500,44.99,,,1,
Markolines Pavement Technologies Ltd.,MARKOLINES,Engineering - Construction,Engineering - Construction,354.6,BSE,0,160,160,49249,-0.71,-2.41,-3.74,1,2024-09,55.8,410.4,2024-03,347.29,17.3,2024-03,20.49,20.49,,2.37,2,2024-03,0.58,18.11,21.79,0,0,0,0,0,,"539013,",1,
GSM Foils Ltd.,GSMFOILS,Packaging,Packaging,154.64,NSE,0,120.7,120.7,0,,,0,1,2024-09,5.38,160.01,,,,2024-03,113.05,113.05,,7.02,1,2024-03,0.49,12.4,15.75,0,0,0,0,0,,"POWERGRID,",1,
