Stock Name,Symbol,Industry_O,Industry,Market Cap(Rs. Cr.),Exchange,Last Price,LTPP,LTP,Volume,Chng%,Chg%,Change,TTM Statement,Period Ending,Total Debt(Rs. Cr.),Enterprise Value(Rs. Cr.),TTM Ending (Results),Net Sales (Rs. Cr.),Profit After Tax (Rs. Cr.),TTM Ending (Valuation),Price Earning Ratio  (TTM),Price Earning Ratio(TTM),PEG Ratio,Price To Book Value(TTM),Statement,Year Ending,Debt Equity Ratio,Return On Equity(%),Return On Capital Employed(%),52w_high_csv,52w_high,52w_low_csv,52w_low,EPS,,Symbol with Comma for External Upload,EPS_csv,EPS
Vrundavan Plantation Ltd.,VPL,Agriculture,Agriculture,25.88,BSE,0,48.5,48.5,0,,-1.33,-1.33,1,2024-09,0.04,25.92,2024-03,18.83,1.69,2024-03,15.27,15.27,,1.24,1,2024-03,0,16.17,24.05,0,0,0,0,0,,,FALSE,
Aaron Industries Ltd.,AARON,Engineering,Engineering,386.62,NSE,138.63,377.9,138.63,3300,2.37,-1.18,-1.66,1,2024-09,34.53,419.05,2024-09,69.19,7.22,2024-09,53.58,39.88,1.25,9.78,1,2024-03,0.88,22.48,19.83,0,258,0,135.01,3.48,,"509563,",1,
Alfavision Overseas (India) Ltd.,ALFAVIO,Agriculture,Agriculture,43.73,BSE,0,14,14,0,0.94,0.94,0,1,2024-09,135.66,179.38,2024-09,2.74,-0.27,2024-09,0,0,,1.04,2,2023-03,3.62,-5.23,1.35,0,0,0,0,0,,"AAKASH,",TRUE,
Asian Warehousing Ltd.,ASIAN,Agriculture,Agriculture,20.78,BSE,0,61.49,61.49,0,3.21,3.21,0,1,2024-09,7.11,27.89,2024-09,1.52,0.3,2024-09,69.96,69.96,,6.25,1,2024-03,2.33,4.61,9.23,0,0,0,0,0,,"539096,",TRUE,
Beeyu Overseas Ltd.,BEEYU,Agriculture,Agriculture,6.51,BSE,0,4.37,4.37,0,-5,-5,0,1,2024-09,,6.51,2024-09,0,-0.24,2024-09,0,0,0,386.55,1,2024-03,0,-104.81,-104.33,0,0,0,0,0,,"538812,",TRUE,
Aartech Solonics Ltd.,AARTECH,Electric Equipment,Electric Equipment,275.99,NSE,46.24,91.05,46.24,67002,4.99,-2.01,-0.95,2,2024-09,4.17,280.16,2024-09,33.34,2.76,2024-09,100.43,85.46,4.93,8.76,2,2024-03,0.14,4.5,9.66,0,76.79,0,38.81,0.54,,"EXICOM,",1,
Aarti Drugs Ltd.,AARTIDRUGS,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,4159.63,NSE,340.3,457.35,340.3,258120,0.24,0.04,0.15,2,2024-09,588.11,4733.62,2024-09,2379.6,152.25,2024-09,27.31,15.37,1.89,3.26,2,2024-03,0.44,13.87,15.01,0,564.05,0,312,22.07,,"RSYSTEMS,",1,
Genomic Valley Biotech Ltd.,GVBL,Agriculture,Agriculture,25.13,BSE,0,82.9,82.9,0,0.75,0.75,0,1,2024-09,,24.71,2024-09,0.4,0.25,2024-09,98.95,98.95,-2.35,6.58,1,2024-03,0,0.43,0.45,0,0,0,0,0,,"AARON,",TRUE,
Aarti Industries Ltd.,AARTIIND,Chemicals,Chemicals,15050.01,NSE,414.9,416.9,414.9,286191,0.4,-4.16,-18,2,2024-09,3825,18551.01,2024-09,6988,445,2024-09,33.82,39.85,-10.28,2.76,2,2024-03,0.6,8.16,7.46,0,495,0,338.05,10.4,,"BEML,",TRUE,
Himalaya Food lnternational Ltd.,HFIL,Agriculture,Agriculture,113.55,BSE,0,20.1,20.1,0,2.45,2.45,0,1,2024-09,,110.2,2024-09,47.88,6.25,2024-09,18.16,18.16,,0.81,2,2024-03,0,3.62,3.63,0,0,0,0,0,,"AARTIDRUGS,",TRUE,
Hindustan Agrigenetics Ltd.,HINDUST,Agriculture,Agriculture,24.91,BSE,0,55,55,0,-2.83,-2.83,0,1,2024-09,,24.91,2024-09,0.08,0.55,2024-09,45.7,45.7,1.06,2.02,1,2023-03,0,145.7,146.43,0,0,0,0,0,,"AARTIIND,",TRUE,
Aarti Pharmalabs Ltd.,AARTIPHARM,Pharmaceuticals & Drugs,Pharmaceuticals & Drugs,6270.87,NSE,646.1,689.55,646.1,118579,-0.39,-1.44,-9.45,2,2024-09,367.5,6597.02,2024-09,1967.98,228.09,2024-09,27.49,27.41,,3.38,2,2024-03,0.15,13.08,16.75,0,971,0,574.45,23.58,,"RPPINFRA,",1,
JK Agri Genetics Ltd.,JK AGRI,Agriculture,Agriculture,208.66,BSE,0,435.8,435.8,0,-3.16,-3.16,0,1,2024-09,19.26,221.48,2024-09,167,-19.98,2024-09,0,0,,1.98,1,2024-3,0.25,-17.3,-13.91,0,0,0,0,0,,"AARTISURF,",TRUE,
Aarti Surfactants Ltd.,AARTISURF,Household & Personal Products,Household & Personal Products,537.79,NSE,343.55,661.25,343.55,11775,3.85,-2.77,-9.75,2,2024-09,111.17,647.69,2024-09,591.55,15.36,2024-09,35.01,16.56,,2.42,2,2024-03,0.45,11.05,14.62,0,653.1,0,335.55,20.73,,,1,
Aarvee Denims & Exports Ltd.,AARVEEDEN,Textile - Weaving,Textile - Weaving,278.59,NSE,0,121.14,121.14,0,2,2,0,1,2024-09,191.18,464.9,2023-12,110.64,-53.6,2024-03,0,0,,5.8,1,2024-03,16.14,-113.53,-9.65,0,0,0,0,0,,37.45,1,
Mangalam Seeds Ltd.,MSL,Agriculture,Agriculture,226.58,BSE,0,210.6,210.6,0,2.06,2.06,0,2,2024-09,58.9,281.48,2024-09,127.83,12.91,2024-09,17.55,17.55,0.56,3.01,2,2024-03,0.82,20.86,18.97,0,0,0,0,0,,,FALSE,
Aarvi Encon Ltd.,AARVI,Professional Services,Professional Services,201.11,NSE,128.25,135.31,128.25,3769,-0.53,-0.67,-0.86,2,2024-09,33.63,213.8,2024-09,437.28,10.13,2024-09,19.85,11.94,3.54,1.66,2,2024-03,0.08,10.11,11.75,0,152,0,88,10.74,,"531240,",1,
Aatmaj Healthcare Ltd.,AATMAJ,Hospital & Healthcare Services,Hospital & Healthcare Services,57.18,NSE,0,25.3,25.3,0,0,0,0,1,2024-09,10.02,67.2,2024-03,15.74,0.88,2024-03,64.92,64.92,,1.16,1,2024-03,0.11,2.77,6.41,0,0,0,0,0,,"MARINE,",1,
