symbol,buy_date,buy_price,buy_qty,sell_date,sell_price,sell_qty,pnl,holding_period_minutes,status
EO CE AUBANK 31Jul2025 800,2025-07-24,0.8,1000.0,2025-07-22,1.0,1000.0,199.99999999999994,2880.0,CLOSED
EO CE AUBANK 31Jul2025 810,2025-07-28,0.2,2000.0,2025-07-21,1.15,2000.0,1900.0,10080.0,CLOSED
EO CE AUBANK 31Jul2025 810,2025-07-29,0.1,1000.0,2025-07-21,1.15,1000.0,1049.9999999999998,11520.0,CLOSED
EO CE AUBANK 31Jul2025 810,2025-07-29,0.1,1000.0,2025-07-21,1.15,1000.0,1049.9999999999998,11520.0,CLOSED
EO CE AUBANK 31Jul2025 830,2025-07-25,0.2,1000.0,2025-07-21,1.05,1000.0,850.0000000000001,5760.0,CLOSED
EO CE AUBANK 31Jul2025 830,2025-07-25,0.2,1000.0,2025-07-21,1.1,1000.0,900.0000000000001,5760.0,CLOSED
EO CE AUBANK 31Jul2025 830,2025-07-28,0.15,1000.0,2025-07-21,1.1,1000.0,950.0000000000001,10080.0,CLOSED
EO CE AUBANK 31Jul2025 850,2025-07-29,0.1,2000.0,2025-07-21,0.5,2000.0,800.0,11520.0,CLOSED
EO CE AUBANK 31Jul2025 850,2025-07-29,0.1,2000.0,2025-07-21,0.5,2000.0,800.0,11520.0,CLOSED
EO CE AUBANK 31Jul2025 940,2025-07-24,0.2,1000.0,2025-06-30,2.4,1000.0,2199.9999999999995,34560.0,CLOSED
EO CE AUBANK 31Jul2025 940,2025-07-25,0.1,1000.0,2025-07-02,2.4,1000.0,2300.0,33120.0,CLOSED
EO CE AUBANK 31Jul2025 940,2025-07-28,0.1,1000.0,2025-07-02,2.4,1000.0,2300.0,37440.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2080,2025-06-23,1.35,500.0,2025-06-23,0.9,500.0,-225.00000000000003,0.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2080,2025-06-23,1.35,500.0,2025-06-23,0.9,500.0,-225.00000000000003,0.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2200,2025-06-18,1.2,500.0,2025-06-13,2.3,500.0,549.9999999999999,7200.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2240,2025-06-06,2.05,500.0,2025-06-03,2.4,500.0,175.00000000000006,4320.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2240,2025-06-18,0.85,500.0,2025-06-17,0.75,500.0,-49.999999999999986,1440.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2240,2025-06-19,0.45,500.0,2025-06-17,0.75,500.0,150.0,2880.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2240,2025-06-25,0.05,500.0,2025-06-17,0.75,500.0,350.0,11520.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-10,1.3,500.0,2025-06-10,1.3,500.0,0.0,0.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-10,1.3,500.0,2025-06-10,1.3,500.0,0.0,0.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-10,1.3,500.0,2025-06-10,1.3,500.0,0.0,0.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-18,0.65,500.0,2025-06-10,1.3,500.0,325.0,11520.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-18,0.65,500.0,2025-06-10,1.3,500.0,325.0,11520.0,CLOSED
EO CE BAJAJFINSV 26Jun2025 2280,2025-06-25,0.05,500.0,2025-06-10,1.3,500.0,625.0,21600.0,CLOSED
