trade_date,symbol,transaction_type,quantity,price,trade_value,charges,open,high,low,close,volume,t_score,f_score,total_score,is_52week_high,is_52week_low,is_alltime_high,is_alltime_low,trade_hour,trade_day_of_week,trade_month,pnl,holding_period_minutes
2025-08-19,EO CE ASHOKLEY 28Aug2025 140,SALE,5000,0.25,1250.0,0,131.76,133.55,127.11,133.28,40387936,100.0,66.0,83.0,True,False,True,False,0,1,8,-1250.0,0.0
2025-09-24,EO CE ASHOKLEY 30Sep2025 150,SALE,10000,0.3,3000.0,0,142.5,143.99,139.6,142.26,36960853,75.0,66.0,70.5,False,False,False,False,0,2,9,0.0,0.0
2025-09-24,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750.0,0,142.5,143.99,139.6,142.26,36960853,75.0,66.0,70.5,False,False,False,False,0,2,9,-1250.0000000000002,0.0
2025-09-24,EO CE ASHOKLEY 30Sep2025 150,BUY,5000,0.55,2750.0,0,142.5,143.99,139.6,142.26,36960853,75.0,66.0,70.5,False,False,False,False,0,2,9,-1250.0000000000002,0.0
2025-08-12,EO CE ASTRAL 28Aug2025 1400,SALE,425,3.3,1402.5,0,1310.1,1356.7,1263.7,1269.3,6627957,6.25,52.0,29.12,False,False,False,False,0,1,8,0.0,0.0
2025-08-18,EO CE ASTRAL 28Aug2025 1400,BUY,425,4.25,1806.25,0,1284.4,1342.7,1284.4,1313.7,2809039,6.25,52.0,29.12,False,False,False,False,0,0,8,-403.75000000000006,8640.0
2025-06-23,EO CE AUBANK 26Jun2025 800,SALE,1000,8.5,8500.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-23,EO CE AUBANK 26Jun2025 800,BUY,1000,9.1,9100.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,-599.9999999999997,0.0
2025-06-23,EO CE AUBANK 26Jun2025 800,BUY,1000,9.05,9050.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-23,EO CE AUBANK 26Jun2025 800,SALE,1000,9.9,9900.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,849.9999999999997,0.0
2025-06-23,EO CE AUBANK 26Jun2025 820,BUY,1000,2.05,2050.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-23,EO CE AUBANK 26Jun2025 820,SALE,1000,2.4,2400.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,350.0000000000001,0.0
2025-06-13,EO CE AUBANK 26Jun2025 830,SALE,1000,1.9,1900.0,0,769.95,772.75,757.0,768.6,1774265,75.0,68.0,71.5,False,False,False,False,0,4,6,0.0,0.0
2025-06-13,EO CE AUBANK 26Jun2025 830,SALE,1000,1.9,1900.0,0,769.95,772.75,757.0,768.6,1774265,75.0,68.0,71.5,False,False,False,False,0,4,6,0.0,0.0
2025-06-16,EO CE AUBANK 26Jun2025 830,BUY,1000,1.25,1250.0,0,768.5,783.5,758.8,781.45,1525817,100.0,68.0,84.0,False,False,False,False,0,0,6,649.9999999999999,4320.0
2025-06-16,EO CE AUBANK 26Jun2025 830,BUY,1000,1.25,1250.0,0,768.5,783.5,758.8,781.45,1525817,100.0,68.0,84.0,False,False,False,False,0,0,6,649.9999999999999,4320.0
2025-06-19,EO CE AUBANK 26Jun2025 830,SALE,1000,2.0,2000.0,0,798.5,808.0,787.75,790.1,4235907,75.0,68.0,71.5,True,False,True,False,0,3,6,0.0,0.0
2025-06-23,EO CE AUBANK 26Jun2025 830,SALE,1000,1.3,1300.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-23,EO CE AUBANK 26Jun2025 830,SALE,1000,1.35,1350.0,0,797.7,802.0,789.35,796.55,2615512,100.0,68.0,84.0,False,False,False,False,0,0,6,0.0,0.0
2025-06-24,EO CE AUBANK 26Jun2025 830,BUY,3000,1.1,3300.0,0,802.0,805.85,790.65,800.7,1329371,100.0,68.0,84.0,False,False,False,False,0,1,6,1349.9999999999998,3360.0
2025-06-19,EO CE AUBANK 26Jun2025 840,BUY,1000,1.3,1300.0,0,798.5,808.0,787.75,790.1,4235907,75.0,68.0,71.5,True,False,True,False,0,3,6,0.0,0.0
2025-06-19,EO CE AUBANK 26Jun2025 840,SALE,1000,1.9,1900.0,0,798.5,808.0,787.75,790.1,4235907,75.0,68.0,71.5,True,False,True,False,0,3,6,599.9999999999999,0.0
2025-06-19,EO CE AUBANK 26Jun2025 850,SALE,1000,1.4,1400.0,0,798.5,808.0,787.75,790.1,4235907,75.0,68.0,71.5,True,False,True,False,0,3,6,0.0,0.0
2025-06-19,EO CE AUBANK 26Jun2025 850,SALE,1000,1.4,1400.0,0,798.5,808.0,787.75,790.1,4235907,75.0,68.0,71.5,True,False,True,False,0,3,6,0.0,0.0
2025-06-26,EO CE AUBANK 26Jun2025 850,BUY,1000,0.05,50.0,0,811.0,824.0,806.15,819.7,5819183,100.0,68.0,84.0,True,False,True,False,0,3,6,1349.9999999999998,10080.0
2025-06-26,EO CE AUBANK 26Jun2025 850,BUY,1000,0.05,50.0,0,811.0,824.0,806.15,819.7,5819183,100.0,68.0,84.0,True,False,True,False,0,3,6,1349.9999999999998,10080.0
2025-08-25,EO CE AUBANK 28Aug2025 780,SALE,2000,1.05,2100.0,0,738.0,753.25,738.0,749.6,1711315,50.0,79.0,64.5,False,False,False,False,0,0,8,0.0,0.0
2025-08-28,EO CE AUBANK 28Aug2025 780,BUY,2000,0.05,100.0,0,745.3,751.95,728.0,729.25,1467576,37.5,79.0,58.25,False,False,False,False,0,3,8,2000.0,4320.0
2025-08-08,EO CE AUBANK 28Aug2025 830,SALE,1000,3.9,3900.0,0,800.0,800.0,736.0,739.0,12715309,37.5,79.0,58.25,False,False,False,False,0,4,8,0.0,0.0
2025-08-18,EO CE AUBANK 28Aug2025 830,SALE,1000,0.9,900.0,0,755.0,773.35,753.0,761.55,1873223,87.5,79.0,83.25,False,False,False,False,0,0,8,0.0,0.0
